total_traded_qty,avg_traded_price,security_name,security_id,trans_date,high_price,total_trades,fiftyTwoWeekHigh,ltp,symbol,total_traded_value,ltp_datetime,fiftyTwoWeekLow,total_buy_qty,prev_closing,low_price,open_price,total_sell_qty,last_updated_price
10118,297.81,Nepal Finance Ltd.,194,2020-11-03,305.0,91,366.0,292.0,NFS,3013203.0,2020-11-03T14:59:23.263295,119.0,4823830,295.0,290.0,300.0,3866669,292.0
33376,208.8,Ngadi Group Power Ltd.,2743,2020-11-03,212.0,131,230.0,209.0,NGPL,6968830.0,2020-11-03T14:59:05.705457,98.0,20217968,206.0,204.0,204.0,12833829,209.0
3524,246.29,Nepal Hydro Developers Ltd.,2769,2020-11-03,255.0,53,260.0,248.0,NHDL,867916.0,2020-11-03T14:57:53.985859,94.0,3383155,247.0,243.0,245.0,1115153,248.0
125463,111.3,National Hydro Power Company Limited,152,2020-11-03,114.0,201,133.0,112.0,NHPC,13964390.0,2020-11-03T14:59:58.081909,49.0,101421290,112.0,110.0,114.0,115070487,112.0
27895,428.99,Nepal Investment Bank Limited,132,2020-11-03,434.0,207,532.0,430.0,NIB,11966808.0,2020-11-03T14:59:57.530181,335.0,42542109,431.0,428.0,433.0,43115211,430.0
73127,9.74,NIBL Pragati Fund,2755,2020-11-03,9.86,43,9.86,9.85,NIBLPF,712434.19,2020-11-03T14:20:19.011243,6.54,40692375,9.31,9.49,9.49,14466150,9.85
10561,375.69,Nepal Investment Bank Ltd. Promoter Share,469,2020-11-03,380.0,31,425.0,375.0,NIBPO,3967673.0,2020-11-03T14:59:49.429873,306.0,18303695,378.0,374.0,371.0,18796640,375.0
139576,10.08,NIBL Samriddhi Fund 1,636,2020-11-03,10.1,20,11.11,10.02,NIBSF1,1407027.6,2020-11-03T13:34:45.61936,8.1,51606329,9.93,9.9,10.09,51807323,10.02
134689,619.57,NIC Asia Bank Ltd.,139,2020-11-03,623.0,372,680.0,619.0,NICA,83448967.0,2020-11-03T14:59:47.74508,396.0,101672246,618.0,615.0,618.0,98108843,619.0
1140,1148.14,11% NIC Asia Debenture 082/83,2869,2020-11-03,1155.0,8,1155.0,1155.0,NICAD8283,1308885.0,2020-11-03T14:59:54.845104,980.0,406635,1120.0,1140.0,1140.0,151454,1155.0
25200,9.5,NIC Asia Balanced Fund,2863,2020-11-03,9.76,18,10.38,9.76,NICBF,239421.0,2020-11-03T14:35:26.658042,8.5,18738924,9.21,9.21,9.39,3765080,9.76
25,1071.0,10.25% NIC Asia Debenture 2083/84,2868,2020-11-03,1071.0,1,1071.0,1071.0,NICD83/84,26775.0,2020-11-03T11:41:59.831953,1000.0,90111,1050.0,1071.0,1071.0,14980,1071.0
87110,9.99,NIC Asia Growth Fund,2779,2020-11-03,10.05,31,11.24,9.88,NICGF,870508.0,2020-11-03T14:58:37.919878,8.38,58033708,9.88,9.83,9.99,29452516,9.88
24752,550.87,Nepal Insurance Co. Ltd.,176,2020-11-03,556.0,64,596.0,550.0,NICL,13635042.0,2020-11-03T14:59:56.506833,235.0,60263468,550.0,549.0,556.0,34779872,550.0
8813,818.36,Neco Insurance Co. Ltd.,183,2020-11-03,829.0,69,854.0,817.0,NIL,7212195.0,2020-11-03T14:59:31.623684,369.0,49523468,814.0,814.0,829.0,42331577,817.0
7104,808.96,Nerude Laghubita Bikas Bank Limited,396,2020-11-03,826.0,60,971.0,800.0,NLBBL,5746885.0,2020-11-03T14:59:38.180105,477.0,7714152,811.0,800.0,820.0,6890845,800.0
2826,1064.08,NRN Lagubitta Bittiya Sanstha Limited,694,2020-11-03,1076.0,46,1421.0,1060.0,NLBSL,3007082.0,2020-11-03T14:59:52.685839,669.62,5735583,1050.0,1056.0,1071.0,577075,1060.0
6203,716.96,NLG Insurance Company Ltd.,559,2020-11-03,721.0,60,900.0,719.0,NLG,4447329.0,2020-11-03T14:53:46.736559,482.0,8756075,718.0,709.0,720.0,6915011,719.0
19968,1412.8,Nepal Life Insurance Co. Ltd.,187,2020-11-03,1417.0,234,1510.0,1412.0,NLIC,28210870.0,2020-11-03T14:59:47.258056,776.0,53715399,1408.0,1410.0,1413.0,53716314,1412.0
16821,780.18,National Life Insurance Co. Ltd.,178,2020-11-03,795.0,81,885.0,780.0,NLICL,13123408.0,2020-11-03T14:59:46.77527,407.0,31758020,783.0,776.0,778.0,22823646,780.0
82561,422.46,NMB Bank Limited,238,2020-11-03,424.0,316,517.0,422.0,NMB,34878865.0,2020-11-03T14:59:51.980736,321.0,108932778,423.0,420.0,424.0,118988640,422.0
41100,9.71,NMB 50,2867,2020-11-03,9.85,21,10.0,9.81,NMB50,399231.0,2020-11-03T14:57:27.741994,9.0,14428807,9.46,9.5,9.5,2210940,9.81
83545,9.71,NMB Hybrid Fund L-1,2752,2020-11-03,9.89,31,10.44,9.65,NMBHF1,810986.34,2020-11-03T14:19:06.113423,8.1,70313662,9.43,9.44,9.45,47029797,9.65
5533,856.25,NMB  Microfinance Bittiya Sanstha Ltd.,704,2020-11-03,870.0,70,1182.0,854.0,NMBMF,4737649.0,2020-11-03T14:56:57.789218,475.0,4201355,849.0,852.0,864.0,3720941,854.0
2818,1609.75,National Microfinance Bittiya Sanstha Ltd.,2746,2020-11-03,1635.0,46,2225.0,1614.0,NMFBS,4536276.0,2020-11-03T14:59:40.27438,1049.0,1990504,1609.0,1590.0,1635.0,1240802,1614.0
47681,864.27,Nepal Reinsurance Company Limited,2881,2020-11-03,869.0,736,942.0,863.0,NRIC,41209073.0,2020-11-03T14:59:56.43399,315.0,138297337,861.0,857.0,862.0,72695637,863.0
9276,345.04,NRN Infrastructure and Development Limited,2898,2020-11-03,350.0,501,590.0,345.0,NRN,3200632.0,2020-11-03T14:59:55.66134,306.0,48490294,347.0,341.0,341.0,9565986,345.0
1050,728.15,Nepal Seva Laghubitta Bittiya Sanstha Ltd.,2781,2020-11-03,740.0,24,952.0,718.0,NSEWA,764560.0,2020-11-03T14:55:34.581865,368.0,1791877,735.0,718.0,726.0,919797,718.0
134844,743.98,Nepal Doorsanchar Comapany Limited,307,2020-11-03,757.0,233,790.0,751.0,NTC,100321532.0,2020-11-03T14:59:45.225905,576.0,33556649,727.0,726.0,730.0,17167937,751.0
6583,1037.45,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,163,2020-11-03,1050.0,114,1248.0,1030.0,NUBL,6829550.0,2020-11-03T14:59:53.797525,752.0,7625622,1025.0,1025.0,1035.0,6137783,1030.0
2254,373.28,Oriental Hotels Limited,149,2020-11-03,376.0,26,569.0,374.0,OHL,841372.0,2020-11-03T14:57:13.952019,260.0,11455554,375.0,370.0,374.0,10611514,374.0
234003,343.79,Prime Commercial Bank Ltd.,357,2020-11-03,349.0,562,352.0,341.0,PCBL,80449003.0,2020-11-03T14:59:58.841853,221.0,94901279,345.0,341.0,345.0,68570650,341.0
9647,193.15,Pokhara Finance Ltd.,236,2020-11-03,195.0,82,214.0,193.0,PFL,1863305.0,2020-11-03T14:59:41.472009,129.0,11079568,191.0,188.0,188.0,5940122,193.0
10503,783.69,Premier Insurance Co. Ltd.,182,2020-11-03,790.0,113,849.0,780.0,PIC,8231061.0,2020-11-03T14:58:42.630454,329.0,26185160,784.0,775.0,789.0,18471908,780.0
16642,527.08,Prudential Insurance Co. Ltd.,189,2020-11-03,535.0,78,765.0,530.0,PICL,8771672.0,2020-11-03T14:58:17.314761,349.0,9204758,525.0,520.0,520.0,8462857,530.0
25426,672.76,Prime Life Insurance Company Limited,393,2020-11-03,680.0,109,728.0,671.0,PLIC,17105618.0,2020-11-03T14:59:44.817489,297.0,26063465,669.0,666.0,680.0,23350728,671.0
6870,142.21,Panchakanya Mai Hydropower Ltd,2786,2020-11-03,146.0,165,170.0,146.0,PMHPL,976990.0,2020-11-03T14:59:39.231686,69.0,13216903,143.0,139.0,141.0,2930827,146.0
45343,196.08,Panchthar Power Compant Limited,2813,2020-11-03,203.0,302,208.0,203.0,PPCL,8890719.0,2020-11-03T14:59:57.484568,91.0,16408401,185.0,182.0,183.0,4819363,203.0
11123,602.63,Prabhu Insurance Ltd.,184,2020-11-03,615.0,65,642.0,598.0,PRIN,6703098.0,2020-11-03T14:58:54.277866,292.0,31485913,597.0,598.0,605.0,23596961,598.0
32633,141.43,ProgressiveFinance Limited,338,2020-11-03,146.0,89,151.0,139.0,PROFL,4615244.0,2020-11-03T14:59:35.771698,93.0,8102365,140.0,136.0,138.0,9691173,139.0
182511,263.36,Prabhu  Bank Limited,255,2020-11-03,266.0,416,292.0,262.0,PRVU,48065793.0,2020-11-03T14:59:42.832107,195.0,149152283,261.0,250.0,250.0,169918706,262.0
1530,278.02,Radhi Bidyut Company Ltd,2776,2020-11-03,285.0,60,310.0,282.0,RADHI,425372.0,2020-11-03T14:59:34.311113,130.0,5495840,281.0,276.0,285.0,1904986,282.0
2031,13565.5,Rastriya Beema Company Limited,177,2020-11-03,14025.0,155,14025.0,13752.0,RBCL,27551528.0,2020-11-03T14:59:50.777381,7840.0,751288,12750.0,12651.0,12651.0,562755,13752.0
3954,12375.54,Rastriya Beema Company Limited Promoter Share,634,2020-11-03,12750.0,125,12750.0,12645.0,RBCLPO,48932885.0,2020-11-03T14:59:36.27975,6780.0,827336,11600.0,11799.0,11799.0,731515,12645.0
29137,183.32,Ridi Hydropower Development Company Ltd.,610,2020-11-03,186.0,118,206.0,184.0,RHPC,5341433.0,2020-11-03T14:59:01.988587,68.57,30582708,184.0,181.0,183.0,22228569,184.0
24016,216.11,RASUWAGADHI HYDROPOWER COMPANY LIMITED,2841,2020-11-03,219.0,300,245.0,218.0,RHPL,5190043.0,2020-11-03T14:59:52.261268,136.0,102835519,220.0,215.0,216.0,25688248,218.0
19258,179.8,Reliance Finance Ltd.,587,2020-11-03,182.0,45,205.0,180.0,RLFL,3462638.0,2020-11-03T14:59:04.750102,106.0,13963257,182.0,179.0,179.0,11320930,180.0
24904,585.26,Reliance Life Insurance Limited,2900,2020-11-03,590.0,1553,726.0,589.0,RLI,14575236.0,2020-11-03T14:59:55.035848,322.0,86965327,582.0,572.0,585.0,6751198,589.0
23386,892.21,RMDC Laghubitta Bittiya Sanstha Ltd.,575,2020-11-03,905.0,175,915.0,883.0,RMDC,20865293.0,2020-11-03T14:59:57.667952,525.0,14574512,891.0,883.0,902.0,10989461,883.0
5247,217.3,Rairang Hydropower Development Company Ltd.,2783,2020-11-03,223.0,132,235.0,221.0,RRHP,1140190.0,2020-11-03T14:59:33.918195,86.0,11234526,219.0,214.0,222.0,2276815,221.0
16947,581.79,RSDC Laghubitta Bittiya Sanstha Ltd.,2748,2020-11-03,598.0,146,703.0,576.0,RSDC,9859599.0,2020-11-03T14:58:40.373304,273.0,11099104,579.0,570.0,590.0,9450014,576.0
1738,885.2,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,2843,2020-11-03,910.0,68,1050.0,896.0,SABSL,1538473.0,2020-11-03T14:58:51.215011,445.0,6808520,905.0,872.0,910.0,2732113,896.0
23533,184.54,Shangrila Development Bank Ltd.,472,2020-11-03,187.0,62,205.0,184.0,SADBL,4342712.0,2020-11-03T14:59:40.979718,132.0,26543001,187.0,183.0,187.0,21419200,184.0
80600,10.23,Sanima Equity Fund,2773,2020-11-03,10.35,42,10.79,10.33,SAEF,824349.0,2020-11-03T14:59:39.932367,8.1,70549033,9.97,10.16,10.16,43017982,10.33
50,1072.0,Sanima Bank Limited Debenture,2828,2020-11-03,1072.0,2,1072.0,1072.0,SAND2085,53600.0,2020-11-03T13:45:32.756611,917.0,217242,1051.0,1072.0,1072.0,91220,1072.0
47826,320.21,Sanima Bank Limited,171,2020-11-03,326.0,268,437.0,320.0,SANIMA,15314485.0,2020-11-03T14:59:16.406208,287.0,55332635,322.0,318.0,325.0,52456543,320.0
6046,165.29,Saptakoshi Development Bank Ltd,2860,2020-11-03,170.0,22,181.0,167.0,SAPDBL,999328.0,2020-11-03T14:57:47.726402,102.0,7181314,167.0,164.0,170.0,4548293,167.0
11213,429.87,Nepal SBI Bank Limited,135,2020-11-03,432.0,81,583.0,430.0,SBI,4820148.0,2020-11-03T14:59:54.05123,344.0,19407668,431.0,428.0,430.0,18694435,430.0
41599,339.72,Siddhartha Bank Limited,145,2020-11-03,345.0,163,393.0,339.0,SBL,14132060.0,2020-11-03T14:59:48.521953,252.0,54531891,342.0,338.0,345.0,47791518,339.0
25,1053.0,10.50% SBL Debenture 2082,2872,2020-11-03,1053.0,1,1053.0,1053.0,SBLD2082,26325.0,2020-11-03T13:07:05.854238,959.0,241624,1033.0,1053.0,1053.0,55778,1053.0
21681,648.22,Standard Chartered Bank Limited,133,2020-11-03,654.0,210,850.0,647.0,SCB,14054148.0,2020-11-03T14:59:31.201763,505.0,21470682,651.0,646.0,654.0,18507510,647.0
5975,859.74,Sadhana Laghubitta Bittiya Sanstha Limited,2896,2020-11-03,877.0,198,927.0,858.0,SDLBSL,5136960.0,2020-11-03T14:59:44.579217,390.0,10177023,862.0,846.0,850.0,1038881,858.0
573840,9.91,Siddhartha Equity Fund,2770,2020-11-03,10.1,68,10.18,9.8,SEF,5684395.4,2020-11-03T14:57:46.036409,8.33,93213327,9.55,9.52,9.6,54841406,9.8
2996,139.14,Samriddhi Finance Company Limited,256,2020-11-03,140.0,18,168.0,138.0,SFCL,416867.0,2020-11-03T14:52:47.727554,90.0,4908715,138.0,137.0,137.0,5110650,138.0
1100,9.23,Sunrise First Mutual Fund,2877,2020-11-03,9.31,2,10.0,9.31,SFMF,10151.0,2020-11-03T14:41:06.256593,9.0,8476982,9.39,9.22,9.22,593740,9.31
21491,269.91,Shine Resunga Development Bank Ltd.,473,2020-11-03,274.0,113,337.0,270.0,SHINE,5800662.0,2020-11-03T14:58:51.813032,205.0,25865369,273.0,269.0,273.0,24448523,270.0
42630,738.93,SHIVAM CEMENTS LTD,2809,2020-11-03,750.0,190,850.0,739.0,SHIVM,31500625.0,2020-11-03T14:59:58.537519,351.0,112501782,745.0,730.0,750.0,79677157,739.0
9458,186.03,Soaltee Hotel Limited,147,2020-11-03,189.0,33,223.0,186.0,SHL,1759519.0,2020-11-03T14:59:11.734081,138.0,38390022,186.0,185.0,189.0,36047755,186.0
117789,341.24,Sanima Mai Hydropower Ltd.,591,2020-11-03,343.0,123,364.0,343.0,SHPC,40194018.0,2020-11-03T14:59:42.008103,165.0,52761656,342.0,340.0,340.0,41086173,343.0
2159,912.76,Sagarmatha Insurance Co. Ltd.,185,2020-11-03,920.0,40,998.0,918.0,SIC,1970646.0,2020-11-03T14:59:52.640711,414.0,7493301,914.0,905.0,905.0,6709673,918.0
24244,1389.45,Shikhar Insurance Co. Ltd.,192,2020-11-03,1398.0,135,1415.0,1396.0,SICL,33685927.0,2020-11-03T14:59:59.243258,725.0,23418476,1380.0,1375.0,1380.0,19829097,1396.0
58180,207.23,Shree Investment Finance Co. Ltd.,244,2020-11-03,211.0,135,220.0,209.0,SIFC,12056642.0,2020-11-03T14:59:39.905596,139.0,8880586,202.0,202.0,204.0,7520075,209.0
4895,762.9,Siddhartha Insurance Ltd.,280,2020-11-03,800.0,44,820.0,764.0,SIL,3734411.0,2020-11-03T14:57:42.316722,351.0,21231864,762.0,760.0,800.0,13839607,764.0
6298,162.45,Sindhu Bikash Bank Ltd,561,2020-11-03,165.0,23,178.0,162.0,SINDU,1023084.0,2020-11-03T14:59:12.83682,116.0,7833918,163.0,161.0,164.0,8948575,162.0
22080,202.85,SANJEN JALAVIDHYUT COMPANY LIMITED,2842,2020-11-03,205.0,342,222.0,204.0,SJCL,4478971.0,2020-11-03T14:59:48.47565,125.0,68626746,201.0,198.0,198.0,15958521,204.0
14425,1423.48,Sana Kisan Bikas Bank Ltd,574,2020-11-03,1448.0,119,1450.0,1428.0,SKBBL,20533705.0,2020-11-03T14:59:56.167525,775.0,12594778,1420.0,1414.0,1448.0,9983544,1428.0
17363,899.45,Swarojgar Laghu Bitta Bikas Bank Ltd.,545,2020-11-03,915.0,135,1070.0,892.0,SLBBL,15617089.0,2020-11-03T14:59:48.095679,464.0,8422639,900.0,883.0,910.0,7908931,892.0
713,969.64,Suryodaya Laghubitta Bittiya Sanstha Ltd.,2750,2020-11-03,979.0,25,1167.0,975.0,SLBS,691353.0,2020-11-03T14:59:46.417639,548.87,1285936,969.0,962.0,979.0,754682,975.0
3632,807.71,Samudayik Laghubitta Bittiya Sanstha Limited,2804,2020-11-03,832.0,79,1085.0,814.0,SLBSL,2933616.0,2020-11-03T14:56:57.081449,584.0,3660185,833.0,802.0,830.0,1698397,814.0
43058,628.26,Surya Life Insurance Company Limited,403,2020-11-03,632.0,218,655.0,629.0,SLICL,27051802.0,2020-11-03T14:59:51.175882,237.0,47554487,620.0,622.0,622.0,36748118,629.0
851,879.08,Support Microfinance Bittiya Sanstha Ltd.,2771,2020-11-03,897.0,35,1164.0,877.0,SMB,748099.0,2020-11-03T14:55:25.284838,396.0,1196532,865.0,870.0,870.0,722309,877.0
3075,1040.7,Swabhimaan Laghubitta Bittiya Sanstha Limited,2829,2020-11-03,1060.0,74,1384.0,1042.0,SMFBS,3200140.0,2020-11-03T14:58:06.83689,753.0,2654882,1035.0,1019.0,1050.0,1135180,1042.0
27945,924.7,Summit Laghubitta Bittiya Sanstha Limited,502,2020-11-03,942.0,238,942.0,942.0,SMFDB,25840801.0,2020-11-03T14:56:51.411936,499.0,1615166,857.0,870.0,870.0,1509159,942.0
29006,934.55,Sarathi Nepal Laghubitta Bittiya Sanstha Limited,592,2020-11-03,1008.0,333,1008.0,910.0,SNLB,27107505.0,2020-11-03T14:58:55.444223,422.0,1819815,917.0,890.0,935.0,1563246,910.0
38002,228.83,Synergy Power Development Ltd.,2759,2020-11-03,230.0,132,252.0,227.0,SPDL,8696040.0,2020-11-03T14:59:52.190001,72.0,24605648,229.0,227.0,228.0,12987013,227.0
35486,259.41,Sunrise Bank Limited,359,2020-11-03,262.0,142,316.0,260.0,SRBL,9205545.0,2020-11-03T14:59:22.121832,201.0,45284200,259.0,258.0,259.0,34011969,260.0
50,1075.0,10.25% Sunrise Bank Debenture 2083,2878,2020-11-03,1075.0,2,1075.0,1075.0,SRBLD83,53750.0,2020-11-03T14:51:05.882203,1000.0,89937,1066.0,1075.0,1075.0,15699,1075.0
346608,172.44,Shiva Shree Hydropower Ltd,2907,2020-11-03,174.0,1098,174.0,174.0,SSHL,59769894.0,2020-11-03T14:59:54.828691,120.0,17475779,159.0,158.0,166.0,62176422,174.0
1044,3825.46,Salt Trading Corporation,155,2020-11-03,3869.0,30,3869.0,3869.0,STC,3993776.0,2020-11-03T14:59:51.833209,658.0,8369115,3725.0,3799.0,3799.0,1722369,3869.0
14811,1326.05,Swabalamban Laghubitta Bittiya Sanstha Limited,268,2020-11-03,1335.0,113,1476.0,1324.0,SWBBL,19640182.0,2020-11-03T14:59:38.347162,802.0,9109095,1320.0,1315.0,1317.0,6329619,1324.0
16214,252.13,Taragaon Regency Hotel Limited,148,2020-11-03,258.0,53,335.0,254.0,TRH,4087962.0,2020-11-03T14:58:22.449409,167.0,15977946,249.0,248.0,251.0,12478257,254.0
1022,243.18,United Finance Ltd.,242,2020-11-03,244.0,12,277.0,243.0,UFL,248532.0,2020-11-03T14:55:28.870059,161.0,5483379,242.0,243.0,243.0,6580987,243.0
13148,432.06,United Insurance Co. (Nepal) Ltd.,180,2020-11-03,438.0,77,490.0,430.0,UIC,5680738.0,2020-11-03T14:57:45.274515,212.0,24176842,431.0,430.0,437.0,22268805,430.0
14576,167.35,United Modi Hydropower Ltd.,2760,2020-11-03,169.0,94,191.0,166.0,UMHL,2439300.0,2020-11-03T14:59:52.01192,96.0,16740094,167.0,165.0,166.0,9740304,166.0
12759,120.73,Union Hydropower Limited,2831,2020-11-03,129.0,104,144.0,120.0,UNHPL,1540380.0,2020-11-03T14:59:51.976078,48.02,9343454,123.0,119.0,129.0,5318270,120.0
30,18336.67,Unilever Nepal Limited,219,2020-11-03,18360.0,3,23345.0,18300.0,UNL,550100.0,2020-11-03T14:48:12.928221,17185.0,71236,18000.0,18300.0,18360.0,117455,18300.0
50344,139.56,UNIVERSAL POWER COMPANY LTD,2810,2020-11-03,141.0,194,160.0,140.0,UPCL,7026146.0,2020-11-03T14:59:10.350238,66.0,53655401,140.0,138.0,139.0,28097489,140.0
58745,296.94,Upper Tamakoshi Hydropower Ltd,2792,2020-11-03,299.0,313,307.0,299.0,UPPER,17443545.0,2020-11-03T14:59:53.39843,194.0,170819734,297.0,295.0,295.0,63351648,299.0
1110,1123.89,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2774,2020-11-03,1150.0,29,1327.0,1120.0,USLB,1247519.0,2020-11-03T14:53:02.821225,633.48,2679433,1130.0,1117.0,1145.0,696888,1120.0
990,971.85,Vijaya laghubitta Bittiya Sanstha Ltd.,687,2020-11-03,988.0,19,1325.0,962.0,VLBS,962129.0,2020-11-03T14:53:15.582883,554.0,3175244,970.0,961.0,988.0,2279554,962.0
